actor_id,name,birthYear
nm0000047,Sophia Loren,1934
nm0000084,Gong Li,1965
nm0000101,Dan Aykroyd,1952
nm0000102,Kevin Bacon,1958
nm0000104,Antonio Banderas,1960
nm0000105,Adrienne Barbeau,1945
nm0000106,Drew Barrymore,1975
nm0000115,Nicolas Cage,1964
nm0000117,Neve Campbell,1973
nm0000119,Tia Carrere,
nm0000120,Jim Carrey,1962
nm0000123,George Clooney,1961
nm0000126,Kevin Costner,1955
nm0000128,Russell Crowe,1964
nm0000133,Geena Davis,1956
nm0000134,Robert De Niro,1943
nm0000136,Johnny Depp,1963
nm0000145,Sherilyn Fenn,1965
nm0000147,Colin Firth,1960
nm0000148,Harrison Ford,1942
nm0000151,Morgan Freeman,1937
nm0000153,Gina Gershon,1962
nm0000154,Mel Gibson,1956
nm0000158,Tom Hanks,1956
nm0000160,Ethan Hawke,1970
nm0000161,Salma Hayek,1966
nm0000162,Anne Heche,1969
nm0000164,Anthony Hopkins,1937
nm0000166,Helen Hunt,1963
nm0000167,Elizabeth Hurley,1965
nm0000168,Samuel L. Jackson,1948
nm0000169,Tommy Lee Jones,1946
nm0000170,Milla Jovovich,1975
nm0000173,Nicole Kidman,1967
nm0000174,Val Kilmer,1959
nm0000178,Diane Lane,1965
nm0000179,Jude Law,1972
nm0000191,Ewan McGregor,1971
nm0000192,Alyssa Milano,1972
nm0000194,Julianne Moore,1960
nm0000195,Bill Murray,1950
nm0000198,Gary Oldman,1958
nm0000201,Michelle Pfeiffer,1958
nm0000202,Ryan Phillippe,1974
nm0000206,Keanu Reeves,1964
nm0000207,Christina Ricci,1980
nm0000208,Molly Ringwald,1968
nm0000218,Kristin Scott Thomas,1960
nm0000223,Elisabeth Shue,1963
nm0000224,Alicia Silverstone,1976
nm0000226,Will Smith,1968
nm0000227,Mira Sorvino,1967
nm0000234,Charlize Theron,1975
nm0000235,Uma Thurman,1970
nm0000242,Mark Wahlberg,1971
nm0000244,Sigourney Weaver,1949
nm0000246,Bruce Willis,1955
nm0000254,Isabelle Adjani,1955
nm0000255,Ben Affleck,1972
nm0000256,Jenny Agutter,1952
nm0000259,Ginger Lynn,1962
nm0000272,Fanny Ardant,1949
nm0000273,Alan Arkin,1934
nm0000274,David Arquette,1971
nm0000275,Rosanna Arquette,1959
nm0000281,Scott Baio,1960
nm0000286,Stephen Baldwin,1966
nm0000287,William Baldwin,1963
nm0000293,Sean Bean,1959
nm0000297,Tom Berenger,1949
nm0000299,Michael Biehn,1956
nm0000300,Juliette Binoche,1964
nm0000302,Jacqueline Bisset,1944
nm0000307,Helena Bonham Carter,1966
nm0000317,Clancy Brown,1959
nm0000319,Yancy Butler,1970
nm0000321,Gabriel Byrne,1950
nm0000322,Emmanuelle Bart,1963
nm0000329,Jackie Chan,1954
nm0000332,Don Cheadle,1964
nm0000333,Cher,1946
nm0000335,Glenn Close,1947
nm0000337,Rachael Leigh Cook,1979
nm0000342,James Cromwell,1940
nm0000353,Willem Dafoe,1955
nm0000366,Catherine Deneuve,1943
nm0000367,Grard Depardieu,1948
nm0000369,Matt Dillon,1964
nm0000375,Robert Downey Jr.,1965
nm0000397,Corey Feldman,1971
nm0000407,Vivica A. Fox,1964
nm0000410,Stephen Fry,1957
nm0000412,Andy Garcia,1956
nm0000413,Janeane Garofalo,1964
nm0000417,Crispin Glover,1964
nm0000418,Danny Glover,1946
nm0000420,Valeria Golino,1965
nm0000421,Cuba Gooding Jr.,1968
nm0000430,Steve Guttenberg,1958
nm0000443,Goldie Hawn,1945
nm0000448,Lance Henriksen,1940
nm0000449,Natasha Henstridge,1974
nm0000460,Jeremy Irons,1948
nm0000461,Michael Ironside,1950
nm0000463,Famke Janssen,1964
nm0000465,Ron Jeremy,1953
nm0000473,Diane Keaton,1946
nm0000474,Michael Keaton,1951
nm0000476,Sally Kirkland,1941
nm0000481,Alice Krige,1954
nm0000491,John Leguizamo,1960
nm0000492,Jennifer Jason Leigh,1962
nm0000499,Bai Ling,
nm0000501,Ray Liotta,1954
nm0000505,Nia Long,1970
nm0000506,Julia Louis-Dreyfus,1961
nm0000510,Andie MacDowell,1958
nm0000514,Michael Madsen,1957
nm0000518,John Malkovich,1953
nm0000531,Frances McDormand,1957
nm0000532,Malcolm McDowell,1943
nm0000542,Penelope Ann Miller,1964
nm0000545,Helen Mirren,1945
nm0000546,Matthew Modine,1959
nm0000547,Alfred Molina,1953
nm0000551,Dermot Mulroney,1963
nm0000553,Liam Neeson,1952
nm0000554,Sam Neill,1947
nm0000555,Judd Nelson,1959
nm0000560,Nick Nolte,1941
nm0000565,Lena Olin,1955
nm0000566,Julia Ormond,1965
nm0000573,Dolly Parton,1946
nm0000574,Jason Patric,1966
nm0000579,Ron Perlman,1950
nm0000585,Robert Picardo,1953
nm0000597,Bill Pullman,1953
nm0000606,Jean Reno,1948
nm0000612,Denise Richards,1971
nm0000613,Joely Richardson,1965
nm0000616,Eric Roberts,1956
nm0000620,Mickey Rourke,1952
nm0000621,Kurt Russell,1951
nm0000628,Johnathon Schaech,1969
nm0000641,Gary Sinise,1955
nm0000642,Marina Sirtis,1955
nm0000657,David Strathairn,1949
nm0000658,Meryl Streep,1949
nm0000661,Donald Sutherland,1935
nm0000663,Dominique Swain,1980
nm0000666,Lili Taylor,1967
nm0000667,David Thewlis,1963
nm0000675,Jeanne Tripplehorn,1963
nm0000680,Casper Van Dien,1968
nm0000681,Vince Vaughn,1970
